questions numbers,r value,p value,std err
q3.16_2_q3.11,0.0750562395938,0.323555189532,0.0567960212966
q3.16_2_q3.10,0.0612987521723,0.179547015477,0.0143878020997
q3.16_2_q3.13,0.0334243653312,0.465968397091,0.05558509445
q3.16_2_q3.12,0.0540824089219,0.236452534223,0.0541600594891
q3.16_2_q3.14,0.0226266637726,0.620955805966,0.0601855182874
q3.16_1_q2.5,-0.177752667991,8.4311856639e-05,0.0417147148945
q3.16_2_q3.18,-0.0487069883509,0.286891073839,0.0753604317932
q5.9_q1.6,-0.0154427678524,0.727135402502,0.0377757316604
q3.16_1_q2.3,-0.154675852527,0.000638660535188,0.0442796490291
q3.16_1_q2.2,0.0,1.0,0.0
q3.13_q3.20,-0.0993236242195,0.0295716773185,0.0612584000439
q2.5_q4.6_1,-0.23142906336,1.0874141008e-07,0.0172739986441
q2.5_q4.6_2,0.0953958661519,0.145729784767,0.0745431588896
q2.5_q4.6_3,-0.131599463578,0.00276944228116,0.0142283289394
q5.7_q5.7,1.0,0.0,0.0
q6.8_q3.10,-0.0121109387171,0.803173874053,0.00797986023349
q5.7_q5.5,-0.0946075071696,0.0316598599465,0.0221403994753
q6.8_q3.12,0.0631329200173,0.193423570414,0.0295013897068
q5.7_q5.2,-0.0375751624212,0.394339296177,0.00429106088419
q3.3_q4.6_1,-0.203815973763,6.32596424373e-06,0.0147417293187
q6.8_q3.18,-0.0577219570261,0.235603293577,0.0411683099138
q3.3_q4.6_3,-0.138047120165,0.00236102089972,0.0114879473549
q3.3_q4.6_2,0.130183814787,0.0486120935407,0.0547791859044
q5.7_q5.9,0.0226337172618,0.60903077873,0.0539571764195
q5.7_q5.8,0.450009181054,6.05431937856e-27,0.0465082126038
q5.8_q3.22_2,0.162446765647,0.000362439871403,0.0694732804289
q5.8_q3.22_3,-0.011725367724,0.797567004542,0.0592312503426
q5.8_q3.22_1,-0.0166859862994,0.71680679118,0.0614846748264
q5.8_q3.22_6,0.197351465366,0.00509320307863,0.117435893448
q5.8_q3.22_4,-0.112923018015,0.0104791847029,0.0393261261823
q5.8_q3.22_5,-0.131610626968,0.0625502964105,0.0269576709282
q3.22_3_q2.2,0.0,1.0,0.0
q3.22_3_q2.3,-0.0638786038991,0.16057843082,0.0450646388024
q3.22_3_q2.5,-0.0921479569558,0.0427313787002,0.0424621802826
q3.22_4_q4.3,0.0,1.0,inf
q3.22_4_q4.2,0.0,1.0,inf
q6.8_q6.8,1.0,0.0,0.0
q3.22_3_q3.22_2,0.356758699894,6.96812603391e-16,0.0505613502905
q6.8_q6.4,-0.336183298753,7.11822453057e-13,0.0478761613481
q6.8_q6.6,0.468254379045,4.91021804197e-25,0.0363981758674
q4.6_3_q3.22_4,0.216896465892,6.71318788991e-07,0.0880258823172
q6.4_q2.3,0.0644516187064,0.179167448454,0.0380996995371
q6.4_q2.5,0.0706971354672,0.140533749561,0.0385939962392
q3.16_3_q4.3,-0.0476779278891,0.500432907982,0.118726708257
q3.22_1_q3.22_4,0.0645918174587,0.158990042072,0.0299659923778
q6.4_q6.4,1.0,0.0,0.0
q6.4_q6.6,0.430290847333,6.73826784546e-21,0.0354683923284
q6.4_q6.8,-0.336183298753,7.11822453057e-13,0.0430850336438
q3.4_q3.20,0.0368481065502,0.42201172269,0.108021163841
q3.12_q3.20,-0.104636291982,0.0215855437221,0.0618528164814
q5.9_q3.22_6,0.0882081956893,0.214216012995,0.12458838769
q5.9_q3.22_5,-0.00144386879571,0.983769981676,0.0283895006751
q5.9_q3.22_4,0.0281634277693,0.524072139207,0.0382574580718
q5.9_q3.22_3,-0.0764907529773,0.0938040267512,0.056372166564
q5.9_q3.22_2,0.0448522008501,0.327808212107,0.0669545676221
q5.9_q3.22_1,0.000421809144738,0.992692127356,0.0582557213238
q3.16_3_q3.16_1,0.0793430570223,0.0815133457036,0.0614389543879
q3.16_3_q3.16_3,1.0,0.0,0.0
q3.16_3_q3.16_2,0.185185286414,4.30394093323e-05,0.0354201438485
q3.16_3_q3.16_4,-0.00288493095787,0.949733851182,0.0551696001106
q3.20_q4.6_1,-0.0691495279099,0.129915582516,0.0196851776047
q3.20_q4.6_3,-0.0231178775599,0.613023000587,0.0152539337681
q3.20_q4.6_2,0.147639949968,0.0251457479406,0.0769785278991
q1.5_q3.16_2,0.0235742831874,0.607160032566,0.0398780824915
q1.5_q3.16_3,0.0165239184988,0.718023440047,0.0501160846212
q5.5_q3.22_1,0.0520775162468,0.25630143487,0.140954123431
q1.5_q3.16_1,0.0770588981339,0.091722189618,0.0675897707251
q5.5_q3.22_6,-0.114084218357,0.105951341869,0.244571259903
q1.5_q3.16_4,-0.0522142991148,0.255052846497,0.0612343129041
q5.5_q3.22_4,0.220400751108,4.1567601448e-07,0.0897868650095
q3.22_3_q3.20,0.340940531432,1.30236398609e-14,0.0411645054877
q3.22_5_duration,0.0591056168449,0.402222930065,991.254275491
q4.6_3_q3.16_1,0.0313123647504,0.492819990014,0.143428730344
q4.6_3_q3.16_2,0.00886593364832,0.846379286495,0.0845067059998
q4.6_3_q3.16_3,0.00062862610023,0.989017196289,0.10660148483
q4.6_3_q3.16_4,0.0266009482623,0.561394232808,0.128805817135
q3.18_q3.16_3,-0.0548188055155,0.229635648773,0.0348383575839
q3.18_q3.16_2,-0.0487069883509,0.286891073839,0.027694733707
q3.22_4_q3.22_2,-0.0463094532023,0.310799022681,0.0801615665255
q3.22_4_q3.22_3,0.0389271561947,0.39282416263,0.0671934093064
q3.22_4_q3.22_1,0.0645918174587,0.158990042072,0.069961967452
q3.22_4_q3.22_6,0.0,1.0,inf
q3.22_4_q3.22_4,1.0,0.0,0.0
q3.22_4_q3.22_5,0.0,1.0,inf
q5.5_q4.6_1,0.162083364118,0.000220952456509,0.0552680635079
q5.5_q4.6_3,0.140628004115,0.00137658543085,0.044678076702
q5.5_q4.6_2,-0.113027830114,0.0844793078964,0.186826759956
q3.20_q2.5,0.0102319468786,0.822529025372,0.0443654462836
q3.20_q2.2,0.0,1.0,0.0
q3.20_q2.3,0.070088377376,0.123987120647,0.0469498405746
q4.6_2_q3.16_4,-0.0630097573102,0.343568142143,0.0530363918092
q4.6_2_q3.16_1,-0.178203617709,0.00673665816276,0.0636083660383
q4.6_2_q3.16_3,-0.0346199260758,0.601438380063,0.0455812540859
q4.6_2_q3.16_2,0.0350963076279,0.596441274856,0.0369676154064
q2.5_duration,0.104247161918,0.0177371569213,127.430697317
q3.22_2_q3.20,0.221056578783,1.00265260898e-06,0.0362340070969
q3.22_6_q3.16_1,-0.237305440822,0.000672581349272,0.0544732539861
q3.22_6_q3.16_3,-0.0506830351382,0.474897063152,0.0401017785355
q1.5_q2.5,-0.0362208999879,0.41298452502,0.0668919924674
q1.5_q2.2,0.0,1.0,0.0
q1.5_q2.3,-0.00674312591672,0.878904879823,0.0642115056242
q1.6_q1.4,0.045596496666,0.301710587446,0.0601514205709
q1.6_q1.5,0.205113102374,2.80956183995e-06,0.0438470697805
q1.6_q1.6,1.0,0.0,0.0
q4.6_3_q5.2,0.0241410431148,0.584656385247,0.00830798589497
q1.6_q1.3,0.087078694304,0.0489195590376,0.0204283331659
q6.8_q3.13,-0.00615288790767,0.899595020501,0.031299830351
q4.6_3_q5.9,0.0219817574962,0.619728861363,0.1047147585
q4.6_3_q5.8,0.0281570961166,0.52538469659,0.101339584907
q3.13_q3.14,0.771992364602,2.56338531965e-96,0.0312473268061
q3.13_q3.11,-0.306496965399,3.70342902725e-05,0.0349022796826
q3.13_q3.10,0.0805028799889,0.0780706782963,0.0119062649333
q3.13_q3.13,1.0,0.0,0.0
q3.13_q3.12,0.191289199219,2.40593864303e-05,0.0444060891694
q3.13_q3.18,-0.0613920803368,0.1793389938,0.0627320959726
q6.8_q3.14,0.0583673734649,0.229846533559,0.0337348278075
q1.6_q5.2,0.00072818834077,0.986834587879,0.00411926204406
q1.4_q3.12,0.284340403658,2.04337049256e-10,0.0335937964862
q1.6_q5.5,-0.127128450097,0.00382135226452,0.0212426535402
q1.4_q3.10,0.0460979745811,0.312511044599,0.00916732175264
q1.6_q5.7,-0.0154779917875,0.726024256115,0.0424602814178
q1.6_q5.8,0.102920240244,0.0198423449875,0.0499070986241
q1.6_q5.9,-0.0154427678524,0.727135402502,0.0517919941051
q1.4_q3.18,-0.144676799986,0.00146510356252,0.047986887022
q3.9_q4.6_3,0.0881174800937,0.173630257056,0.0297968874573
q3.16_3_q3.22_5,0.120626339007,0.0872598154484,0.0276877070864
q3.16_3_q3.22_6,-0.0506830351382,0.474897063152,0.124987405022
duration_q6.6,0.029432164357,0.539455414342,1.46752376452e-05
q3.16_3_q3.22_1,0.0577050952098,0.208857295695,0.0637655970708
q3.16_3_q3.22_2,0.278724063765,5.15922531423e-10,0.0697735622911
q3.16_3_q3.22_3,0.0756662393831,0.0967114860496,0.0610096018682
q6.4_q3.22_1,0.013006877989,0.791146680307,0.0415778346953
q6.4_q3.22_3,-0.0635913458746,0.192308885974,0.040438289882
q6.4_q3.22_2,0.0854464267509,0.079910542049,0.0474972470901
q6.4_q3.22_5,-0.00262378940047,0.970960444331,0.0207750227974
duration_q6.8,-0.0209307856264,0.661860278427,1.69136632655e-05
q6.4_q3.22_6,-0.0888333995898,0.218043714549,0.0911791212722
q4.6_3_q3.22_1,0.0286639640881,0.533153962321,0.147863781218
q6.8_q3.20,-0.0274634150367,0.57279274392,0.0400146391263
q4.6_3_q3.22_3,0.0391462992339,0.391149501002,0.142223469179
q4.6_3_q3.22_2,0.0577378001345,0.207163207607,0.16888191803
q3.22_6_q3.22_4,0.0,1.0,0.0
q3.11_duration,-0.031622835268,0.677822189344,825.844615316
q3.22_6_q3.22_6,1.0,0.0,0.0
q3.22_6_q3.22_1,-0.0329539843481,0.644875434454,0.0533542307433
q3.22_6_q3.22_2,-0.0587811112566,0.407169159206,0.0639666993407
q3.22_6_q3.22_3,-0.115881861068,0.100526335239,0.0537365292501
duration_q3.16_4,0.00561651504478,0.902217752446,1.32514997628e-05
duration_q3.16_3,0.019191944208,0.673631083352,1.09208895076e-05
duration_q3.16_2,0.0993989847102,0.0291099108224,8.59669844631e-06
duration_q3.16_1,-0.0845780786449,0.0629932732204,1.47112030401e-05
q1.3_q5.9,0.0547274833528,0.217726315117,0.110543414032
